Instance name		n	A	F	M	N	S
increase-n50-2.txt	50	True	-1	-1	not implemented - NP Hard???	True	
increase-n50-3.txt	50	True	-1	-1	not implemented - NP Hard???	True	
increase-n500-1.txt	500	True	-1	-1	not implemented - NP Hard???	True	
increase-n500-2.txt	500	True	-1	-1	not implemented - NP Hard???	True	
increase-n500-3.txt	500	True	-1	-1	not implemented - NP Hard???	True	
increase-n8-1.txt	8	True	-1	-1	not implemented - NP Hard???	True	
increase-n8-2.txt	8	True	-1	-1	not implemented - NP Hard???	True	
increase-n8-3.txt	8	True	-1	-1	not implemented - NP Hard???	True	
output2023-11-23	-1	True	-1	-1	not implemented - NP Hard???	Error in alternate.py: ''	
P3.txt	3	True	-1	-1	not implemented - NP Hard???	True	
P3.txt	3	True	-1	-1	not implemented - NP Hard???	True	
rusty-1-17.txt	17	True	-1	-1	not implemented - NP Hard???	False	
rusty-1-2000.txt	2000	True	-1	-1	not implemented - NP Hard???	False	
rusty-1-2500.txt	2500	True	-1	-1	not implemented - NP Hard???	False	
rusty-1-3000.txt	3000	True	-1	-1	not implemented - NP Hard???	False	
rusty-1-3500.txt	3500	True	-1	-1	not implemented - NP Hard???	False	
rusty-1-4000.txt	4000	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
rusty-1-4500.txt	4500	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
rusty-1-5000.txt	5000	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
rusty-1-5757.txt	5757	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
rusty-2-2000.txt	2000	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
rusty-2-2500.txt	2500	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
rusty-2-3000.txt	3000	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
rusty-2-3500.txt	3500	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
rusty-2-4000.txt	4000	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
rusty-2-4500.txt	4500	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
rusty-2-5000.txt	5000	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
rusty-2-5757.txt	5757	TIMEOUT	-1	-1	not implemented - NP Hard???	False	
ski-illustration.txt	36	True	-1	-1	not implemented - NP Hard???	False	
ski-level10-1.txt	79	True	-1	-1	not implemented - NP Hard???	False	
ski-level10-2.txt	76	True	-1	-1	not implemented - NP Hard???	False	
ski-level10-3.txt	77	True	-1	-1	not implemented - NP Hard???	False	
ski-level20-1.txt	252	True	-1	-1	not implemented - NP Hard???	False	
ski-level20-2.txt	253	True	-1	-1	not implemented - NP Hard???	False	
ski-level20-3.txt	254	True	-1	-1	not implemented - NP Hard???	False	
ski-level3-1.txt	16	True	-1	-1	not implemented - NP Hard???	True	
